Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls
348-2150,179.0,0.0,116.1,101.0,19.74,201.8,99.0,17.15,181.9,103.0,8.19,11.6,5.0,3.13,0.0
348-2916,92.0,0.0,265.6,82.0,45.15,180.7,75.0,15.36,252.15,113.0,9.5,8.6,2.0,2.32,1.0
348-3338,160.0,0.0,256.0,102.0,43.52,187.4,61.0,15.93,119.1,81.0,5.36,11.5,4.0,3.11,3.0
348-3444,120.0,31.0,153.5,83.0,26.1,219.1,96.0,18.62,237.4,76.0,10.68,11.4,4.0,3.08,0.0
348-3581,146.0,0.0,109.0,69.0,18.53,265.8,98.0,22.59,228.3,80.0,10.27,12.6,2.0,3.4,1.0
348-3777,70.0,30.0,143.4,72.0,24.38,170.0,92.0,14.45,127.9,68.0,5.76,9.4,4.0,2.54,3.0
348-3830,79.0,0.0,134.7,98.0,22.9,189.7,68.0,16.12,221.4,128.0,9.96,11.8,5.0,3.19,2.0
348-4316,124.0,0.0,143.3,120.0,24.36,230.7,100.0,19.61,214.3,91.0,9.64,7.8,2.0,2.11,4.0
348-4660,178.0,0.0,124.5,134.0,21.17,141.2,78.0,12.0,268.2,113.0,12.07,11.4,2.0,3.08,2.0
348-4961,113.0,34.0,44.9,63.0,7.63,134.2,82.0,11.41,168.4,118.0,7.58,13.3,3.0,3.59,1.0
348-5038,102.0,0.0,156.5,67.0,26.61,204.3,103.0,17.37,141.9,72.0,6.39,9.9,2.0,2.67,2.0
348-5567,127.0,0.0,180.9,114.0,30.75,209.5,118.0,17.81,249.9,105.0,11.25,7.4,4.0,2.0,2.0
348-5569,158.0,0.0,195.9,103.0,32.39,89.1,95.0,7.57,302.2,82.0,13.6,10.3,3.0,2.78,1.0
348-5725,95.0,0.0,269.0,120.0,45.73,233.7,120.0,19.86,179.3,61.0,8.07,7.3,4.0,1.97,2.0
348-5728,57.0,0.0,272.7,74.0,46.36,224.9,85.0,19.12,178.2,104.0,8.02,10.5,3.0,2.84,2.0
348-5767,43.0,0.0,235.3,108.0,33.98,288.4,80.0,24.51,180.6,103.0,8.13,11.3,7.0,3.05,1.0
348-6008,148.0,0.0,153.6,148.0,26.11,262.1,87.0,23.23,225.5,99.0,10.15,9.8,3.0,2.65,2.0
348-6057,88.0,0.0,153.5,94.0,26.1,251.7,118.0,21.39,182.2,99.0,8.2,8.5,6.0,2.3,1.0
348-6659,149.0,20.0,264.4,102.0,44.95,219.6,123.0,18.67,200.4,89.0,9.02,11.3,3.0,3.05,2.0
348-6720,100.0,0.0,132.6,125.0,22.54,221.1,67.0,18.79,127.9,101.0,5.76,12.7,2.0,3.43,4.0
348-6853,54.0,0.0,286.6,73.0,48.72,223.2,108.0,18.97,203.7,107.0,9.17,11.5,5.0,3.11,1.0
348-7071,136.0,24.0,174.6,76.0,29.68,176.6,114.0,15.01,214.4,91.0,9.65,8.8,5.0,2.38,2.0
348-7193,50.0,0.0,131.1,129.0,32.39,160.5,94.0,13.64,206.9,88.0,9.31,5.6,9.0,1.51,5.0
348-7224,115.0,0.0,146.7,128.0,24.94,106.2,74.0,9.03,197.7,104.0,8.9,10.9,4.0,3.0,2.0
348-7409,66.0,0.0,87.6,76.0,14.89,262.0,100.0,23.23,184.6,125.0,8.31,9.2,5.0,2.48,1.0
348-7437,97.0,0.0,151.6,107.0,25.77,155.4,96.0,13.21,240.0,112.0,10.8,14.7,4.0,3.97,1.0
348-7448,88.0,0.0,152.9,119.0,25.99,171.2,107.0,14.55,257.0,106.0,11.57,12.0,5.0,3.24,2.0
348-7484,65.0,31.0,282.3,70.0,47.99,152.0,89.0,12.92,225.5,93.0,10.15,12.0,4.0,3.24,1.0
348-7556,27.0,0.0,82.6,105.0,14.04,204.0,99.0,17.34,224.2,122.0,10.09,9.1,4.0,2.46,1.0
348-8015,95.0,37.0,220.2,109.0,37.43,185.3,99.0,15.75,205.1,82.0,9.23,4.1,2.0,2.92,0.0
348-8022,100.0,0.0,115.9,87.0,19.7,251.6,56.0,9.46,170.2,77.0,7.66,7.1,4.0,1.92,1.0
348-8464,121.0,0.0,86.1,100.0,14.64,259.8,113.0,22.08,148.0,79.0,9.1,9.1,9.0,2.46,2.0
348-8679,66.0,33.0,235.3,104.0,15.1,109.6,94.0,9.32,172.7,107.0,9.1,7.1,9.0,1.92,3.0
348-8711,123.0,23.0,245.0,88.0,41.65,265.0,105.0,22.53,239.7,108.0,10.79,14.9,3.0,4.02,2.0
348-9145,137.0,0.0,97.5,95.0,16.58,195.8,82.0,16.64,252.15,78.0,13.0,0.0,0.0,0.0,1.0
348-9383,91.0,0.0,151.8,115.0,25.81,103.6,116.0,8.81,156.3,86.0,7.03,12.2,4.0,3.29,1.0
348-9828,129.0,0.0,168.4,117.0,28.63,217.1,129.0,18.45,81.6,100.0,3.67,11.8,7.0,3.19,1.0
348-9938,157.0,0.0,180.4,123.0,30.67,194.0,98.0,16.49,227.3,88.0,10.23,8.4,5.0,2.27,0.0
348-9945,94.0,0.0,139.4,95.0,23.7,159.1,92.0,13.52,128.2,129.0,5.77,7.7,3.0,2.08,0.0
349-1687,119.0,23.0,154.0,114.0,26.18,278.0,137.0,23.63,228.4,112.0,10.28,11.8,4.0,3.19,2.0
349-1726,33.0,0.0,184.4,102.0,31.35,203.8,110.0,17.32,237.4,100.0,10.68,9.3,5.0,2.51,3.0
349-1756,115.0,0.0,210.6,120.0,35.8,153.1,84.0,13.01,262.2,79.0,11.8,11.0,5.0,2.97,0.0
349-1943,112.0,22.0,181.8,110.0,30.91,228.1,123.0,19.39,262.7,141.0,11.82,9.2,4.0,2.48,2.0
349-2157,64.0,0.0,145.5,116.0,24.74,228.4,110.0,19.41,273.4,91.0,12.3,8.9,8.0,2.4,1.0
349-2654,56.0,0.0,91.1,90.0,15.49,179.3,115.0,15.24,300.7,89.0,13.53,11.9,8.0,3.21,2.0
349-2808,86.0,41.0,119.0,101.0,20.23,230.0,134.0,19.55,236.9,58.0,10.66,9.5,3.0,2.57,0.0
349-3005,130.0,0.0,271.8,129.0,46.21,237.2,128.0,20.16,210.1,91.0,9.45,8.7,2.0,2.35,4.0
349-3112,153.0,0.0,159.5,103.0,27.12,275.5,90.0,23.42,176.7,126.0,7.95,10.1,2.0,2.73,1.0
349-3732,106.0,0.0,212.9,110.0,36.19,187.0,69.0,15.9,128.1,71.0,5.76,6.3,3.0,1.7,3.0
349-3843,61.0,29.0,128.2,119.0,21.79,171.7,83.0,14.59,250.9,114.0,11.29,11.7,6.0,3.16,3.0
349-4070,105.0,15.0,88.1,125.0,14.98,175.9,142.0,14.95,269.9,85.0,12.15,9.7,1.0,2.62,2.0
349-4369,133.0,0.0,127.3,108.0,21.64,251.3,81.0,21.36,135.0,88.0,6.08,10.3,3.0,2.78,1.0
349-4396,10.0,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0
349-4397,161.0,0.0,173.4,100.0,29.48,213.7,74.0,18.16,141.5,69.0,6.37,11.5,4.0,3.11,1.0
349-4703,30.0,30.0,217.4,74.0,36.96,213.8,86.0,18.17,227.2,104.0,10.22,6.6,3.0,1.78,0.0
349-4762,68.0,29.0,239.5,82.0,40.72,203.8,105.0,17.32,167.8,70.0,7.55,9.9,6.0,2.67,0.0
349-4979,129.0,0.0,159.1,100.0,27.05,202.5,90.0,17.21,233.1,96.0,10.49,11.5,6.0,3.11,2.0
349-5617,61.0,33.0,270.7,53.0,46.02,200.7,116.0,17.06,201.7,102.0,9.08,10.9,3.0,2.94,3.0
349-6464,125.0,0.0,137.1,94.0,23.31,209.8,83.0,17.83,238.4,114.0,10.73,8.6,4.0,2.32,1.0
349-6567,64.0,37.0,154.6,92.0,26.28,83.4,103.0,7.09,165.9,99.0,7.47,13.3,3.0,3.59,1.0
349-7138,86.0,0.0,136.4,104.0,23.19,202.5,110.0,17.21,230.7,86.0,10.38,11.5,1.0,3.11,3.0
349-7282,97.0,25.0,141.0,101.0,23.97,212.0,85.0,18.02,175.2,138.0,7.88,4.9,2.0,1.32,3.0
349-7291,35.0,0.0,124.2,102.0,32.39,123.9,115.0,10.53,135.7,100.0,6.11,13.1,8.0,3.54,2.0
349-7362,102.0,0.0,271.1,80.0,46.09,172.0,133.0,14.62,169.2,105.0,7.61,10.3,5.0,2.78,1.0
349-8391,64.0,0.0,146.7,83.0,24.94,148.3,91.0,12.61,238.6,69.0,10.74,12.5,3.0,3.38,3.0
349-9060,173.0,0.0,172.5,78.0,29.33,142.6,91.0,12.12,102.0,63.0,4.59,10.9,2.0,2.94,0.0
349-9566,92.0,0.0,201.9,74.0,34.32,226.8,119.0,19.28,217.5,80.0,9.79,13.7,6.0,3.7,3.0
350-1040,45.0,0.0,78.2,127.0,13.29,253.4,108.0,21.54,255.0,100.0,11.48,18.0,3.0,4.86,1.0
350-1126,64.0,0.0,113.8,97.0,19.35,192.3,97.0,16.35,214.9,89.0,9.67,10.4,1.0,2.81,3.0
350-1354,143.0,0.0,202.8,109.0,34.48,165.8,104.0,14.09,143.9,71.0,6.48,4.6,4.0,1.24,1.0
350-1422,75.0,38.0,163.6,132.0,27.81,146.7,113.0,12.47,345.8,115.0,15.56,13.1,3.0,3.54,3.0
350-1532,77.0,0.0,169.4,102.0,28.8,184.9,144.0,15.72,234.3,89.0,10.54,2.0,7.0,0.54,1.0
350-1639,170.0,0.0,259.9,68.0,44.18,245.0,122.0,20.83,134.4,121.0,6.05,8.4,3.0,2.27,3.0
350-2012,165.0,0.0,150.5,75.0,25.59,193.1,93.0,16.41,311.6,93.0,14.02,10.3,2.0,2.78,1.0
350-2075,153.0,0.0,166.8,127.0,28.36,143.5,121.0,12.2,210.7,130.0,9.48,11.8,4.0,3.19,0.0
350-2250,105.0,0.0,150.0,106.0,25.5,293.8,123.0,24.97,250.7,65.0,11.28,10.3,7.0,2.78,3.0
350-2340,35.0,37.0,181.2,76.0,30.8,177.6,98.0,15.1,228.0,136.0,10.26,5.0,3.0,1.35,2.0
350-2384,107.0,0.0,241.9,102.0,41.12,126.9,117.0,10.79,185.6,92.0,8.35,11.7,6.0,3.16,0.0
350-2565,100.0,0.0,110.4,103.0,18.77,137.3,102.0,11.67,189.6,105.0,8.53,7.7,6.0,2.08,2.0
350-2832,101.0,0.0,190.7,72.0,32.42,208.6,103.0,17.73,203.8,101.0,9.17,8.8,8.0,2.38,1.0
350-4297,83.0,0.0,159.3,104.0,27.08,202.3,98.0,17.2,229.0,73.0,10.31,9.5,3.0,2.57,2.0
350-4367,137.0,0.0,104.7,115.0,17.8,249.8,144.0,21.23,192.3,99.0,8.65,8.9,2.0,2.4,1.0
350-4820,160.0,0.0,166.4,117.0,28.29,317.0,129.0,26.95,160.4,121.0,7.22,10.0,2.0,2.7,1.0
350-5883,120.0,0.0,198.8,56.0,33.8,230.1,73.0,19.56,119.8,81.0,5.39,9.9,3.0,2.67,2.0
350-5993,87.0,0.0,153.3,106.0,26.06,224.5,117.0,19.08,273.4,152.0,12.3,8.9,5.0,2.4,2.0
350-6473,138.0,0.0,127.1,102.0,21.61,247.7,106.0,21.05,207.7,75.0,9.35,5.0,3.0,1.35,3.0
350-6639,44.0,34.0,221.8,105.0,37.71,161.7,85.0,13.74,227.7,62.0,10.25,14.0,7.0,3.78,0.0
350-6759,166.0,0.0,204.2,115.0,34.71,179.9,152.0,15.29,216.8,109.0,9.76,9.5,5.0,2.57,1.0
350-7114,40.0,0.0,81.7,123.0,13.89,210.2,108.0,17.87,212.0,64.0,9.54,11.3,3.0,3.05,6.0
350-7227,122.0,22.0,204.5,92.0,34.77,139.6,121.0,11.87,205.0,103.0,9.23,8.6,5.0,2.32,2.0
350-7273,95.0,0.0,229.9,116.0,39.08,202.4,110.0,17.2,171.4,105.0,7.71,14.2,6.0,3.83,1.0
350-7288,51.0,0.0,197.8,60.0,33.63,221.0,64.0,18.79,168.6,134.0,7.59,8.9,5.0,2.4,1.0
350-7306,64.0,0.0,148.1,73.0,25.18,164.9,101.0,14.02,216.0,125.0,9.72,12.3,2.0,3.32,5.0
350-7344,92.0,25.0,134.0,112.0,22.78,206.0,100.0,17.51,180.6,118.0,8.13,9.7,4.0,2.62,0.0
350-8680,128.0,40.0,171.2,88.0,29.1,145.7,109.0,12.38,196.8,93.0,8.86,14.0,6.0,3.78,1.0
350-8884,85.0,27.0,196.4,139.0,32.39,280.9,90.0,23.88,89.3,75.0,4.02,13.8,4.0,3.73,1.0
350-8921,50.0,0.0,157.1,90.0,26.71,223.3,72.0,18.98,181.4,101.0,8.16,6.1,2.0,1.65,1.0
350-9228,143.0,0.0,209.1,127.0,32.39,106.1,80.0,9.02,179.6,90.0,8.08,14.0,6.0,3.78,0.0
350-9313,100.0,36.0,166.2,54.0,28.25,238.8,109.0,20.3,108.8,92.0,4.9,11.2,2.0,3.02,3.0
350-9318,132.0,0.0,235.3,85.0,37.81,165.4,76.0,14.06,208.4,97.0,9.38,11.2,4.0,3.02,0.0
350-9720,47.0,37.0,112.8,150.0,19.18,243.9,97.0,20.73,178.7,112.0,8.04,13.2,6.0,3.56,2.0
350-9994,6.0,0.0,183.6,117.0,31.21,256.7,72.0,21.82,178.6,79.0,8.04,10.2,2.0,2.75,1.0
351-1007,84.0,42.0,165.3,97.0,28.1,223.5,118.0,19.0,260.8,72.0,11.74,7.6,7.0,2.05,3.0
351-1382,180.0,0.0,139.0,96.0,23.63,224.9,64.0,19.12,170.8,118.0,7.69,15.7,5.0,4.24,2.0
351-1389,136.0,29.0,85.2,98.0,14.48,230.4,85.0,19.58,243.6,104.0,10.96,9.0,3.0,2.43,2.0
351-1466,124.0,0.0,150.3,101.0,32.39,255.9,112.0,21.75,136.7,62.0,6.15,12.5,4.0,3.38,2.0
351-1894,84.0,38.0,193.0,106.0,32.81,153.6,106.0,13.06,260.4,87.0,11.72,7.4,5.0,2.0,2.0
351-2535,100.0,0.0,229.4,107.0,39.0,214.1,99.0,18.2,289.6,95.0,13.03,10.4,6.0,2.81,4.0
351-2587,148.0,0.0,124.4,83.0,21.15,179.7,81.0,15.27,253.0,99.0,11.39,11.3,6.0,3.05,0.0
351-2589,202.0,0.0,115.4,137.0,19.62,178.7,70.0,15.19,185.7,113.0,8.36,6.0,3.0,1.62,3.0
351-2773,92.0,0.0,157.7,101.0,26.81,298.6,100.0,25.38,216.9,99.0,9.76,13.8,3.0,3.73,1.0
351-2815,100.0,0.0,264.5,117.0,44.97,194.0,100.0,16.49,262.7,101.0,11.82,7.5,4.0,2.03,2.0
351-2928,112.0,16.0,200.3,72.0,34.05,197.8,91.0,16.81,151.1,92.0,6.8,10.4,3.0,2.81,1.0
351-3169,62.0,0.0,189.5,122.0,32.39,103.8,95.0,8.82,180.6,106.0,8.13,10.8,5.0,2.92,2.0
351-3316,98.0,0.0,158.4,71.0,26.93,306.6,66.0,26.06,144.2,93.0,6.49,2.1,4.0,0.57,1.0
351-4025,94.0,0.0,89.5,94.0,15.22,339.9,106.0,28.89,172.9,76.0,7.78,7.9,1.0,2.13,1.0
351-4226,59.0,0.0,179.4,80.0,30.5,232.5,99.0,19.76,175.8,105.0,7.91,14.7,3.0,3.97,0.0
351-4288,145.0,0.0,187.9,110.0,31.94,197.0,117.0,16.75,167.0,108.0,7.52,4.8,4.0,1.3,2.0
351-4616,115.0,24.0,142.1,124.0,24.16,183.4,129.0,15.59,164.8,114.0,7.42,9.6,4.0,2.59,1.0
351-5576,63.0,0.0,142.5,92.0,24.23,208.3,102.0,17.71,228.9,120.0,10.3,7.5,2.0,2.03,2.0
351-6366,21.0,0.0,223.2,142.0,37.94,216.5,114.0,18.4,214.7,101.0,9.66,12.4,2.0,3.35,1.0
351-6384,97.0,0.0,144.2,91.0,24.51,226.7,137.0,19.27,144.6,72.0,6.51,13.8,4.0,3.73,3.0
351-6552,60.0,0.0,125.1,99.0,21.27,248.8,62.0,21.15,211.3,79.0,9.51,11.2,3.0,3.02,3.0
351-6574,46.0,0.0,156.4,105.0,26.59,185.5,98.0,15.77,226.7,96.0,10.2,11.8,3.0,3.19,1.0
351-6585,87.0,0.0,237.2,124.0,40.32,251.6,87.0,18.92,173.3,81.0,7.8,11.0,3.0,2.97,1.0
351-7005,40.0,31.0,224.7,69.0,38.2,134.5,81.0,11.43,120.3,104.0,5.41,7.5,5.0,2.03,1.0
351-7016,98.0,0.0,162.8,65.0,27.68,185.0,109.0,15.73,219.5,104.0,9.88,6.0,3.0,1.62,2.0
351-7269,161.0,0.0,332.9,67.0,56.59,317.8,97.0,27.01,160.6,128.0,7.23,5.4,9.0,1.46,4.0
351-7309,80.0,0.0,276.5,122.0,47.01,195.6,79.0,16.63,210.3,78.0,9.46,7.2,3.0,1.94,1.0
351-7369,114.0,36.0,309.9,90.0,52.68,200.3,89.0,17.03,183.5,105.0,8.26,14.2,2.0,3.83,1.0
351-7807,135.0,0.0,173.4,107.0,29.48,251.6,84.0,18.87,64.2,94.0,2.89,13.7,6.0,3.7,1.0
351-8398,191.0,0.0,162.0,104.0,27.54,241.2,120.0,20.5,210.4,83.0,9.47,10.9,7.0,2.94,1.0
351-8894,112.0,0.0,101.1,119.0,17.19,214.4,67.0,18.22,179.5,112.0,8.08,10.3,5.0,2.78,2.0
351-8955,65.0,0.0,153.9,117.0,26.16,220.1,122.0,18.71,280.5,147.0,12.62,8.5,3.0,2.3,2.0
351-9037,50.0,0.0,301.7,82.0,51.29,167.1,118.0,14.2,72.2,89.0,3.25,10.5,6.0,2.84,1.0
351-9537,100.0,0.0,99.3,112.0,16.88,270.5,136.0,22.99,225.3,94.0,10.14,9.0,6.0,2.43,3.0
351-9604,141.0,28.0,206.9,126.0,35.17,264.4,126.0,22.47,171.8,124.0,7.73,9.3,11.0,2.51,2.0
352-1127,108.0,15.0,165.1,85.0,28.07,267.0,93.0,22.7,250.7,114.0,11.28,10.9,4.0,2.94,1.0
352-1237,64.0,0.0,154.0,67.0,26.18,225.8,118.0,19.19,265.3,86.0,11.94,3.5,3.0,0.95,1.0
352-1798,52.0,0.0,209.8,114.0,35.67,171.3,82.0,14.56,154.6,119.0,6.96,9.9,9.0,2.67,4.0
352-2175,70.0,0.0,104.7,112.0,17.8,82.2,104.0,6.99,169.4,110.0,7.62,15.8,7.0,4.27,3.0
352-2270,106.0,30.0,220.1,105.0,37.42,251.6,109.0,18.89,158.4,96.0,7.13,13.1,8.0,3.54,0.0
352-2998,134.0,0.0,178.0,110.0,30.26,153.8,64.0,13.07,236.6,105.0,10.65,11.7,4.0,3.16,1.0
352-3440,123.0,0.0,175.7,78.0,29.87,184.6,96.0,15.69,156.9,92.0,7.06,9.1,2.0,2.46,2.0
352-4182,123.0,32.0,212.3,77.0,36.09,251.5,78.0,21.38,208.7,85.0,9.39,6.6,2.0,1.78,3.0
352-4221,100.0,0.0,203.1,96.0,34.53,217.0,126.0,18.45,180.9,122.0,8.14,13.5,2.0,3.65,3.0
352-4401,99.0,0.0,128.3,78.0,21.81,215.3,120.0,18.3,143.7,140.0,6.47,14.3,9.0,3.86,2.0
352-4418,113.0,0.0,239.7,47.0,40.75,282.9,110.0,24.05,238.4,88.0,10.73,8.7,3.0,2.35,2.0
352-4534,129.0,0.0,101.4,145.0,17.24,249.1,116.0,21.17,157.6,107.0,7.09,7.1,6.0,1.92,1.0
352-4541,57.0,0.0,154.2,78.0,26.21,196.7,85.0,16.72,253.5,97.0,11.41,10.1,9.0,2.73,1.0
352-5000,69.0,0.0,195.1,91.0,33.17,261.5,57.0,23.23,203.8,90.0,9.17,11.4,5.0,3.08,0.0
352-5081,101.0,0.0,220.3,124.0,37.45,188.6,101.0,16.03,278.4,98.0,12.53,10.6,4.0,2.86,1.0
352-5118,119.0,15.0,160.0,95.0,27.2,209.5,110.0,17.81,82.3,107.0,3.7,8.7,5.0,2.35,5.0
352-5393,88.0,0.0,181.9,90.0,30.92,151.5,87.0,12.88,143.0,100.0,6.44,7.5,3.0,2.03,1.0
352-5466,42.0,0.0,303.9,106.0,51.66,232.2,54.0,19.74,147.1,76.0,6.62,5.8,3.0,1.57,1.0
352-5542,115.0,0.0,127.7,67.0,21.71,182.9,90.0,23.23,172.9,92.0,7.78,10.6,7.0,2.86,1.0
352-5663,72.0,0.0,196.5,88.0,33.41,158.6,129.0,13.48,269.3,118.0,12.12,6.8,3.0,1.84,0.0
352-5697,10.0,0.0,235.3,127.0,32.39,153.1,125.0,13.01,227.4,80.0,10.23,12.9,4.0,3.48,1.0
352-5750,105.0,0.0,212.0,113.0,36.04,226.6,128.0,19.26,193.6,114.0,8.71,8.9,7.0,2.4,3.0
352-5787,137.0,0.0,237.3,103.0,40.34,176.7,84.0,15.02,263.4,81.0,11.85,14.2,4.0,3.83,0.0
352-5815,94.0,0.0,163.5,136.0,27.8,143.7,100.0,12.21,253.4,82.0,11.4,12.6,5.0,3.4,1.0
352-6068,174.0,33.0,167.8,91.0,28.53,205.3,91.0,17.45,130.0,132.0,5.85,14.5,4.0,3.92,4.0
352-6084,160.0,0.0,216.8,77.0,36.86,207.3,117.0,17.62,228.6,117.0,10.29,5.6,2.0,1.51,1.0
352-6265,124.0,0.0,188.5,77.0,32.05,182.0,123.0,15.47,218.2,127.0,9.82,6.1,6.0,1.65,1.0
352-6282,107.0,30.0,198.9,87.0,33.81,207.0,90.0,17.6,159.8,76.0,7.19,12.6,4.0,3.4,3.0
352-6573,113.0,0.0,155.0,93.0,26.35,330.6,106.0,28.1,189.4,123.0,8.52,13.5,3.0,3.65,1.0
352-6732,136.0,0.0,109.4,91.0,18.6,207.5,100.0,17.64,135.0,107.0,6.08,11.6,5.0,3.13,0.0
352-6833,122.0,0.0,173.6,110.0,29.51,91.7,84.0,7.79,211.7,103.0,9.53,9.7,7.0,2.62,3.0
352-6976,89.0,0.0,303.9,95.0,51.66,260.9,114.0,22.18,312.1,89.0,14.04,5.3,3.0,1.43,1.0
352-7072,46.0,0.0,210.2,92.0,35.73,227.3,77.0,19.32,200.1,116.0,9.0,13.1,7.0,3.54,1.0
352-7234,101.0,0.0,248.6,102.0,42.26,174.9,93.0,14.87,207.2,86.0,9.32,6.1,3.0,1.65,3.0
352-7413,82.0,0.0,101.0,93.0,17.17,155.6,104.0,13.23,304.4,93.0,13.7,13.3,2.0,3.59,0.0
352-7752,126.0,0.0,239.7,87.0,40.75,281.7,92.0,23.94,183.5,113.0,8.26,11.4,1.0,3.08,1.0
352-7915,89.0,0.0,134.9,59.0,22.93,156.0,152.0,13.26,197.5,112.0,8.89,10.2,5.0,2.75,1.0
352-8202,137.0,0.0,205.9,88.0,35.0,209.3,86.0,17.79,289.9,84.0,13.05,14.5,4.0,3.92,2.0
352-8249,151.0,26.0,196.5,98.0,33.41,175.8,100.0,14.94,221.8,124.0,9.98,13.4,5.0,3.62,0.0
352-8305,40.0,41.0,148.1,74.0,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5.0,1.67,2.0
352-8327,71.0,0.0,178.2,113.0,30.29,167.8,94.0,14.26,182.1,101.0,8.19,13.6,3.0,3.67,3.0
352-8508,106.0,0.0,147.9,97.0,25.14,209.3,99.0,17.79,162.1,80.0,7.29,8.8,5.0,2.38,2.0
352-9017,112.0,0.0,217.1,76.0,36.91,205.2,100.0,17.44,185.7,91.0,8.36,9.4,3.0,2.54,2.0
352-9050,98.0,0.0,136.1,82.0,23.14,156.3,118.0,13.29,158.8,83.0,7.15,10.1,5.0,2.73,2.0
352-9130,51.0,12.0,135.8,60.0,23.09,200.6,134.0,17.05,192.4,98.0,8.66,12.3,7.0,3.32,2.0
352-9836,59.0,0.0,195.0,58.0,33.15,198.5,88.0,16.87,304.3,110.0,13.69,14.8,9.0,4.0,0.0
352-9947,38.0,36.0,115.4,98.0,19.62,166.2,83.0,14.13,184.7,79.0,8.31,15.2,6.0,4.1,2.0
353-1352,174.0,15.0,221.8,143.0,37.71,210.6,115.0,17.9,221.8,109.0,9.98,12.4,9.0,3.35,1.0
353-1941,9.0,31.0,193.8,130.0,32.95,202.6,98.0,17.22,191.2,102.0,8.6,13.3,2.0,3.59,1.0
353-1954,136.0,0.0,101.7,105.0,17.29,202.8,99.0,17.24,136.2,119.0,6.13,9.4,6.0,2.54,3.0
353-2080,94.0,0.0,85.9,113.0,14.6,226.7,91.0,19.27,279.6,110.0,12.58,15.6,16.0,4.21,0.0
353-2391,41.0,0.0,207.2,138.0,35.22,214.1,83.0,18.2,193.0,105.0,8.69,11.9,4.0,3.21,1.0
353-2450,54.0,33.0,112.0,90.0,19.04,208.0,112.0,17.68,150.3,83.0,6.76,11.3,4.0,3.05,2.0
353-2557,185.0,19.0,157.3,123.0,26.74,257.7,94.0,21.9,190.4,107.0,8.57,9.6,6.0,2.59,0.0
353-2630,20.0,0.0,190.0,109.0,32.3,258.2,84.0,21.95,181.5,102.0,8.17,6.3,6.0,1.7,0.0
353-2763,136.0,0.0,204.5,63.0,34.77,208.8,95.0,17.75,224.0,119.0,10.08,9.8,2.0,2.65,0.0
353-3061,59.0,28.0,120.9,97.0,20.55,213.0,92.0,18.11,163.1,116.0,7.34,8.5,5.0,2.3,2.0
353-3203,90.0,0.0,114.4,122.0,19.45,127.7,154.0,10.85,253.1,109.0,11.39,10.1,5.0,2.73,2.0
353-3223,96.0,40.0,108.6,90.0,18.46,206.4,154.0,17.54,126.3,118.0,5.68,13.4,4.0,3.62,0.0
353-3285,127.0,0.0,220.2,108.0,37.43,188.4,124.0,16.01,172.7,113.0,9.1,11.7,3.0,3.16,2.0
353-3305,78.0,0.0,130.8,64.0,32.39,223.7,116.0,19.01,227.8,108.0,10.25,10.0,5.0,2.7,1.0
353-3351,54.0,0.0,210.5,102.0,35.79,204.5,83.0,17.38,127.8,53.0,5.75,8.5,5.0,2.3,1.0
353-3372,99.0,0.0,256.4,44.0,43.59,214.5,105.0,18.23,233.7,75.0,10.52,7.9,1.0,2.13,3.0
353-3492,131.0,24.0,135.9,60.0,23.1,233.2,78.0,19.82,210.6,121.0,9.48,9.4,4.0,2.54,1.0
353-3759,87.0,0.0,151.0,83.0,25.67,219.7,116.0,18.67,203.9,127.0,9.18,9.7,3.0,2.62,5.0
353-3994,135.0,0.0,194.8,97.0,33.12,235.3,118.0,20.0,174.4,126.0,7.85,11.0,3.0,2.97,1.0
353-4002,149.0,0.0,187.6,83.0,31.89,201.4,81.0,17.12,264.2,79.0,11.89,8.8,1.0,2.38,1.0
353-4296,78.0,0.0,162.3,116.0,27.59,192.4,86.0,16.35,240.6,100.0,10.83,10.1,3.0,2.73,2.0
353-4880,155.0,39.0,183.3,106.0,31.16,205.1,101.0,17.43,263.7,90.0,11.87,5.1,7.0,1.38,1.0
353-5257,90.0,24.0,71.2,82.0,12.1,181.6,103.0,15.44,186.9,101.0,8.41,12.9,1.0,3.48,1.0
353-5557,82.0,0.0,197.7,101.0,33.61,127.6,83.0,10.85,142.1,103.0,6.39,13.5,3.0,3.65,1.0
353-5714,101.0,0.0,154.4,130.0,26.25,217.2,101.0,18.46,185.4,52.0,8.34,13.9,4.0,3.75,1.0
353-6007,113.0,0.0,209.4,151.0,35.6,347.3,113.0,29.52,246.0,116.0,11.07,7.4,2.0,2.0,1.0
353-6038,128.0,0.0,245.2,112.0,41.68,101.5,101.0,8.63,152.3,116.0,6.85,10.7,5.0,2.89,0.0
353-6056,132.0,0.0,191.9,107.0,32.62,206.9,127.0,17.59,272.0,88.0,12.24,12.6,2.0,3.4,1.0
353-6218,87.0,28.0,143.5,106.0,24.4,223.5,147.0,19.0,175.4,69.0,7.89,11.2,5.0,3.02,0.0
