Phone Number,Churn,Account Length,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,VMail Message,CustServ Calls,total_mins,total_calls,avg_mins_per_call,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,intl_call_rate,intl_charge_per_min,vmail_usage_rate,calls_per_day,peak_period_share,usage_time_std,dominant_usage_period,total_charge,charge_per_min
342-5854,0,174,235.5,108,40.04,142.3,143,12.1,316.7,131,14.25,12.5,5,3.38,0,0,694.5,382,1.8181,0.3391,0.2049,0.456,0.018,0.0131,0.2704,0.0,2.1954,0.456,87.2688,Night,69.77,0.1005
342-5906,0,101,93.8,127,15.95,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,0,1,484.9,347,1.3974,0.1934,0.3093,0.4972,0.0221,0.0058,0.2701,0.0,3.4356,0.4972,74.3359,Night,42.44,0.0875
342-6316,0,102,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0,0,501.0,352,1.4233,0.2291,0.1635,0.6074,0.024,0.0114,0.27,0.0,3.451,0.6074,120.0378,Night,43.41,0.0866
342-6696,0,48,300.4,94,51.07,133.2,103,11.32,197.4,94,9.1,7.2,5,1.94,0,2,631.0,291,2.1684,0.4761,0.2111,0.3128,0.0114,0.0172,0.2694,0.0,6.0625,0.4761,84.347,Day,73.43,0.1164
342-7514,0,80,160.6,103,27.3,237.0,109,20.15,245.1,88,11.03,10.7,1,2.89,0,1,642.7,300,2.1423,0.2499,0.3688,0.3814,0.0166,0.0033,0.2701,0.0,3.75,0.3814,46.6241,Night,61.37,0.0955
342-7716,0,86,144.8,105,24.62,206.2,100,17.53,255.4,117,11.49,11.6,2,3.13,16,4,606.4,322,1.8832,0.2388,0.34,0.4212,0.0191,0.0062,0.2698,0.0497,3.7442,0.4212,55.412,Night,56.77,0.0936
342-8002,0,42,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12.0,6,3.24,0,2,520.6,335,1.554,0.3471,0.3354,0.3175,0.0231,0.0179,0.27,0.0,7.9762,0.3471,7.7552,Day,56.24,0.108
342-8167,1,113,245.3,108,41.7,259.9,140,22.09,204.3,115,9.19,10.7,2,2.89,0,3,709.5,363,1.9545,0.3457,0.3663,0.2879,0.0151,0.0055,0.2701,0.0,3.2124,0.3663,28.8257,Evening,75.87,0.1069
342-8320,0,69,268.8,78,45.7,246.6,89,20.96,271.9,102,12.24,16.4,3,4.43,27,0,787.3,269,2.9268,0.3414,0.3132,0.3454,0.0208,0.0112,0.2701,0.1004,3.8986,0.3454,13.7994,Night,83.33,0.1058
342-8348,0,61,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,0,2,555.8,327,1.6997,0.3399,0.2764,0.3838,0.0184,0.0061,0.2696,0.0,5.3607,0.3838,30.0154,Night,57.52,0.1035
342-8702,0,101,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62,0,0,575.2,266,2.1624,0.217,0.4471,0.3359,0.0233,0.015,0.2701,0.0,2.6337,0.4471,66.2122,Evening,55.39,0.0963
342-9394,0,134,214.4,93,36.45,211.7,57,17.99,165.0,79,7.43,10.0,8,2.7,38,1,591.1,229,2.5812,0.3627,0.3581,0.2791,0.0169,0.0349,0.27,0.1659,1.709,0.3627,27.7745,Day,64.57,0.1092
342-9480,0,83,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,0,1,647.1,293,2.2085,0.3522,0.3207,0.3272,0.0187,0.0171,0.2702,0.0,3.5301,0.3522,10.7722,Day,69.18,0.1069
343-1009,0,142,216.8,134,36.86,187.8,106,15.96,138.1,108,6.21,8.3,2,2.24,0,0,542.7,348,1.5595,0.3995,0.346,0.2545,0.0153,0.0057,0.2699,0.0,2.4507,0.3995,39.8011,Day,61.27,0.1129
343-1323,0,11,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6.0,3,1.62,28,3,591.0,288,2.0521,0.3225,0.3724,0.3051,0.0102,0.0104,0.27,0.0972,26.1818,0.3724,20.6574,Evening,60.84,0.1029
343-1347,1,61,105.0,78,17.85,180.6,100,15.35,174.1,115,7.83,10.2,2,2.75,40,2,459.7,293,1.5689,0.2284,0.3929,0.3787,0.0222,0.0068,0.2696,0.1365,4.8033,0.3929,41.8975,Evening,43.78,0.0952
343-1458,0,119,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,10.9,7,3.0,0,1,534.9,276,1.938,0.2494,0.3825,0.3681,0.0204,0.0254,0.2752,0.0,2.3193,0.3825,39.0747,Evening,51.93,0.0971
343-1538,0,153,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,0,1,599.4,324,1.85,0.3091,0.347,0.3438,0.0252,0.0093,0.2702,0.0,2.1176,0.347,12.5933,Evening,62.53,0.1043
343-1965,1,75,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,0,4,492.8,243,2.028,0.4288,0.2143,0.3569,0.0197,0.0165,0.2701,0.0,3.24,0.4288,53.8017,Day,55.44,0.1125
343-2077,0,24,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,0,1,601.6,321,1.8741,0.4021,0.2414,0.3565,0.011,0.0156,0.2697,0.0,13.375,0.4021,49.84,Day,64.89,0.1079
343-2095,0,65,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,0,1,629.2,312,2.0167,0.2163,0.4337,0.35,0.007,0.0064,0.2705,0.0,4.8,0.4337,68.998,Evening,57.44,0.0913
343-2350,0,106,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,0,2,562.5,312,1.8029,0.2939,0.3733,0.3328,0.0151,0.0096,0.2706,0.0,2.9434,0.3733,22.3515,Evening,56.67,0.1007
343-2392,0,70,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,31,1,575.0,278,2.0683,0.219,0.3416,0.4395,0.0179,0.0144,0.2699,0.1115,3.9714,0.4395,63.5324,Night,52.24,0.0909
343-2465,0,170,178.1,130,30.28,242.8,103,20.64,243.0,93,10.93,13.0,4,3.51,37,0,663.9,326,2.0365,0.2683,0.3657,0.366,0.0196,0.0123,0.27,0.1135,1.9176,0.366,37.4124,Night,65.36,0.0984
343-2592,1,161,297.9,141,50.64,238.1,107,20.24,240.5,93,10.82,8.9,5,2.4,0,1,776.5,341,2.2771,0.3836,0.3066,0.3097,0.0115,0.0147,0.2697,0.0,2.118,0.3836,33.854,Day,84.1,0.1083
343-2597,0,127,134.9,79,22.93,221.5,114,18.83,113.8,118,5.12,15.0,2,4.05,0,1,470.2,311,1.5119,0.2869,0.4711,0.242,0.0319,0.0064,0.27,0.0,2.4488,0.4711,57.0731,Evening,50.93,0.1083
343-2605,0,96,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,18,1,565.6,269,2.1026,0.3053,0.2359,0.4588,0.0173,0.0112,0.2704,0.0669,2.8021,0.4588,64.5238,Night,55.03,0.0973
343-2689,1,125,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0,0,697.2,241,2.8929,0.3452,0.3864,0.2684,0.0145,0.0124,0.2703,0.0,1.928,0.3864,41.7731,Evening,74.97,0.1075
343-2741,0,82,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,0,4,654.4,274,2.3883,0.2839,0.4225,0.2936,0.0087,0.0255,0.2702,0.0,3.3415,0.4225,50.6451,Evening,65.27,0.0997
343-3227,0,142,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,24,0,782.4,274,2.8555,0.3065,0.3654,0.3281,0.0121,0.0146,0.2705,0.0876,1.9296,0.3654,23.3219,Evening,79.19,0.1012
343-3296,0,156,174.5,65,29.67,197.4,116,16.78,238.5,86,10.73,10.6,2,2.86,0,0,610.4,267,2.2861,0.2859,0.3234,0.3907,0.0174,0.0075,0.2698,0.0,1.7115,0.3907,32.4284,Night,60.04,0.0984
343-3340,0,113,92.6,85,15.74,177.6,92,15.1,159.8,72,7.19,14.4,4,3.89,0,3,430.0,249,1.7269,0.2153,0.413,0.3716,0.0335,0.0161,0.2701,0.0,2.2035,0.413,44.8287,Evening,41.92,0.0975
343-3356,0,165,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0,632.1,353,1.7907,0.3427,0.3019,0.3555,0.0196,0.0227,0.2702,0.0,2.1394,0.3555,17.7034,Night,66.5,0.1052
343-3399,0,89,235.3,101,18.9,122.1,94,10.38,180.8,85,8.14,12.6,2,3.4,0,3,538.2,280,1.9221,0.4372,0.2269,0.3359,0.0234,0.0071,0.2698,0.0,3.1461,0.4372,56.613,Day,40.82,0.0758
343-3846,0,114,172.0,145,29.24,276.4,101,23.49,193.7,100,8.72,10.1,9,2.73,0,1,642.1,346,1.8558,0.2679,0.4305,0.3017,0.0157,0.026,0.2703,0.0,3.0351,0.4305,55.0901,Evening,64.18,0.1
343-3961,0,87,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,0,2,623.7,227,2.7476,0.185,0.421,0.3939,0.021,0.022,0.2702,0.0,2.6092,0.421,80.5518,Evening,56.54,0.0907
343-4147,0,87,221.6,79,37.67,157.1,74,13.35,252.15,124,10.01,11.5,3,3.11,40,1,630.85,277,2.2774,0.3513,0.249,0.3997,0.0182,0.0108,0.2704,0.1444,3.1839,0.3997,48.525,Night,64.14,0.1017
343-4516,0,76,171.1,78,29.09,257.2,83,21.86,91.6,92,4.12,16.2,3,4.37,0,1,519.9,253,2.0549,0.3291,0.4947,0.1762,0.0312,0.0119,0.2698,0.0,3.3289,0.4947,82.8219,Evening,59.44,0.1143
343-4696,0,132,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,563.3,273,2.0634,0.144,0.4353,0.4207,0.0183,0.0073,0.2699,0.0,2.0682,0.4353,92.467,Evening,48.08,0.0854
343-4772,0,155,181.4,102,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,0,3,517.6,316,1.638,0.3505,0.324,0.3255,0.0218,0.0095,0.2699,0.0,2.0387,0.3505,7.6892,Day,55.72,0.1077
343-4806,0,72,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,0,4,590.1,297,1.9869,0.3691,0.3215,0.3094,0.0176,0.0168,0.2702,0.0,4.125,0.3691,18.6148,Day,64.18,0.1088
343-5219,1,107,235.3,106,22.66,182.9,89,23.23,241.1,123,10.85,12.9,2,3.48,0,3,659.3,318,2.0733,0.3569,0.2774,0.3657,0.0196,0.0063,0.2698,0.0,2.972,0.3657,32.0589,Night,60.22,0.0913
343-5347,0,172,172.5,85,29.33,253.1,71,21.51,221.6,113,9.97,5.9,6,1.59,0,0,647.2,269,2.4059,0.2665,0.3911,0.3424,0.0091,0.0223,0.2695,0.0,1.564,0.3911,40.619,Evening,62.4,0.0964
343-5372,0,132,113.2,96,19.24,269.9,107,22.94,229.1,87,10.31,7.1,7,1.92,25,2,612.2,290,2.111,0.1849,0.4409,0.3742,0.0116,0.0241,0.2704,0.0862,2.197,0.4409,81.2941,Evening,54.41,0.0889
343-5679,0,90,235.3,93,37.74,187.0,103,15.9,282.3,124,12.7,12.4,6,3.35,0,2,704.6,320,2.2019,0.3339,0.2654,0.4007,0.0176,0.0188,0.2702,0.0,3.5556,0.4007,47.6515,Night,69.69,0.0989
343-5709,1,154,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,0,1,821.2,269,3.0528,0.4272,0.2636,0.3092,0.0123,0.0335,0.2703,0.0,1.7468,0.4272,69.3119,Day,92.2,0.1123
343-6314,0,143,119.1,117,20.25,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,0,629.8,353,1.7841,0.1891,0.4568,0.3541,0.0194,0.0113,0.2697,0.0,2.4685,0.4568,85.0561,Evening,58.03,0.0921
343-6374,0,124,244.6,89,41.58,251.6,80,16.05,206.0,114,9.27,11.3,4,3.05,0,1,702.2,283,2.4813,0.3483,0.3583,0.2934,0.0161,0.0141,0.2699,0.0,2.2823,0.3583,24.5571,Evening,69.95,0.0996
343-6643,0,88,142.2,107,24.17,262.4,84,22.3,139.2,99,6.26,10.1,5,2.73,0,1,543.8,290,1.8752,0.2615,0.4825,0.256,0.0186,0.0172,0.2703,0.0,3.2955,0.4825,70.2795,Evening,55.46,0.102
343-6940,1,89,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,0,1,652.2,260,2.5085,0.3266,0.2708,0.4026,0.014,0.0038,0.2703,0.0,2.9213,0.4026,43.1685,Night,65.5,0.1004
343-7019,1,78,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,0,1,654.5,319,2.0517,0.3618,0.4053,0.2328,0.0145,0.0063,0.2705,0.0,4.0897,0.4053,58.7112,Evening,72.24,0.1104
343-7242,0,59,133.1,114,22.63,221.2,82,18.8,131.6,103,5.92,6.8,3,1.84,29,1,485.9,299,1.6251,0.2739,0.4552,0.2708,0.014,0.01,0.2706,0.097,5.0678,0.4552,51.3031,Evening,49.19,0.1012
343-7734,0,118,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,0,2,520.2,318,1.6358,0.3076,0.3372,0.3552,0.019,0.0094,0.2697,0.0,2.6949,0.3552,12.5204,Night,53.1,0.1021
343-9365,0,127,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,0,2,573.1,354,1.6189,0.3814,0.2616,0.357,0.0161,0.0141,0.2696,0.0,2.7874,0.3814,36.3038,Day,61.59,0.1075
343-9645,0,61,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,0,2,570.9,307,1.8596,0.3463,0.2666,0.3871,0.0123,0.0098,0.27,0.0,5.0328,0.3871,34.9919,Night,58.39,0.1023
343-9654,0,105,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,0,1,519.7,220,2.3623,0.1951,0.3061,0.4987,0.0235,0.0091,0.2697,0.0,2.0952,0.4987,79.8437,Night,45.71,0.088
343-9658,0,21,146.0,78,24.82,109.7,79,9.32,247.4,108,9.1,6.8,7,1.84,0,0,503.1,265,1.8985,0.2902,0.218,0.4918,0.0135,0.0264,0.2706,0.0,12.619,0.4918,71.3687,Night,45.08,0.0896
343-9946,0,130,162.8,113,27.68,290.3,100,24.68,114.9,140,5.17,7.2,3,1.94,0,1,568.0,353,1.6091,0.2866,0.5111,0.2023,0.0127,0.0085,0.2694,0.0,2.7154,0.5111,90.6604,Evening,59.47,0.1047
344-1136,1,120,202.0,123,34.34,184.3,78,15.67,176.0,89,7.92,7.4,2,2.0,0,2,562.3,290,1.939,0.3592,0.3278,0.313,0.0132,0.0069,0.2703,0.0,2.4167,0.3592,13.2802,Day,59.93,0.1066
344-1362,1,128,227.9,130,38.74,302.6,71,25.72,191.5,82,8.62,5.5,7,1.49,0,1,722.0,283,2.5512,0.3157,0.4191,0.2652,0.0076,0.0247,0.2709,0.0,2.2109,0.4191,56.6396,Evening,74.57,0.1033
344-1970,1,124,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,0,1,660.6,315,2.0971,0.4723,0.2725,0.2552,0.0194,0.0127,0.2703,0.0,2.5403,0.4723,79.7052,Day,79.39,0.1202
344-2260,0,121,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,21,1,528.4,315,1.6775,0.239,0.3967,0.3643,0.0201,0.0063,0.2698,0.0667,2.6033,0.3967,43.9957,Evening,50.81,0.0962
344-2416,0,3,67.4,116,11.46,244.0,78,20.74,281.1,93,12.65,11.4,2,3.08,27,2,592.5,287,2.0645,0.1138,0.4118,0.4744,0.0192,0.007,0.2702,0.0941,95.6667,0.4744,114.1867,Night,47.93,0.0809
344-3131,0,184,151.7,93,25.79,178.5,77,15.17,229.1,101,10.31,13.1,8,3.54,0,2,559.3,271,2.0638,0.2712,0.3191,0.4096,0.0234,0.0295,0.2702,0.0,1.4728,0.4096,39.3051,Night,54.81,0.098
344-3145,0,105,259.3,96,44.08,175.2,97,14.89,252.15,36,10.01,12.0,5,3.24,0,3,686.65,229,2.9985,0.3776,0.2552,0.3672,0.0175,0.0218,0.27,0.0,2.181,0.3776,46.6284,Day,72.22,0.1052
344-3160,1,133,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,32,2,654.9,344,1.9038,0.3376,0.4045,0.2579,0.0235,0.0116,0.2701,0.093,2.5865,0.4045,48.0612,Evening,71.87,0.1097
344-3388,0,122,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,0,2,507.5,254,1.998,0.4804,0.1653,0.3543,0.027,0.0315,0.2701,0.0,2.082,0.4804,80.4786,Day,60.37,0.119
344-3466,1,126,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,30,4,458.6,284,1.6148,0.3345,0.3301,0.3354,0.0279,0.0141,0.2703,0.1056,2.254,0.3354,1.2858,Night,49.33,0.1076
344-4022,0,94,207.0,109,35.19,167.4,80,14.23,238.2,117,10.72,2.6,6,0.7,0,1,612.6,306,2.002,0.3379,0.2733,0.3888,0.0042,0.0196,0.2692,0.0,3.2553,0.3888,35.483,Night,60.84,0.0993
344-4478,0,90,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,0,2,637.3,325,1.9609,0.3228,0.254,0.4232,0.0196,0.0185,0.2704,0.0,3.6111,0.4232,54.2145,Night,64.25,0.1008
344-4691,0,57,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,29,1,754.7,324,2.3293,0.3709,0.2956,0.3335,0.0172,0.0062,0.27,0.0895,5.6842,0.3709,28.4002,Day,81.38,0.1078
344-4970,0,68,157.3,83,26.74,220.9,85,18.78,218.9,129,9.85,12.0,7,3.24,0,1,597.1,297,2.0104,0.2634,0.37,0.3666,0.0201,0.0236,0.27,0.0,4.3676,0.37,36.156,Evening,58.61,0.0982
344-5117,0,74,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,33,2,577.8,279,2.071,0.3352,0.4259,0.2388,0.0253,0.0108,0.2699,0.1183,3.7703,0.4259,54.0584,Evening,64.0,0.1108
344-5181,1,119,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0,0,721.7,217,3.3258,0.4076,0.3222,0.2702,0.0125,0.0046,0.27,0.0,1.8235,0.4076,50.0896,Day,80.98,0.1122
344-5206,0,140,149.7,71,25.45,212.5,97,18.06,245.9,67,11.07,12.6,4,3.4,0,3,608.1,235,2.5877,0.2462,0.3494,0.4044,0.0207,0.017,0.2698,0.0,1.6786,0.4044,48.843,Night,57.98,0.0953
344-5766,0,117,198.4,121,33.73,249.5,104,21.21,162.8,115,7.33,10.5,5,2.84,0,1,610.7,340,1.7962,0.3249,0.4085,0.2666,0.0172,0.0147,0.2705,0.0,2.906,0.4085,43.5803,Evening,65.11,0.1066
344-5967,0,20,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,0,2,713.3,245,2.9114,0.2619,0.3553,0.3829,0.0172,0.0245,0.2699,0.0,12.25,0.3829,45.2241,Night,68.91,0.0966
344-5973,0,33,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,0,1,542.2,340,1.5947,0.3515,0.2982,0.3502,0.024,0.0176,0.27,0.0,10.303,0.3515,16.4871,Day,58.2,0.1073
344-6258,0,88,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,0,3,515.4,280,1.8407,0.28,0.3035,0.4166,0.0151,0.0357,0.2705,0.0,3.1818,0.4166,37.6419,Night,49.59,0.0962
344-6334,0,138,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0,0,511.0,294,1.7381,0.4712,0.2828,0.246,0.0227,0.0034,0.2698,0.0,2.1304,0.4712,61.7456,Day,62.01,0.1214
344-6404,0,90,145.6,103,24.75,197.1,137,16.75,294.5,83,13.25,10.5,4,2.84,0,0,637.2,323,1.9728,0.2285,0.3093,0.4622,0.0165,0.0124,0.2705,0.0,3.5889,0.4622,75.6199,Night,57.59,0.0904
344-6495,0,117,134.7,121,22.9,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,0,1,515.6,308,1.674,0.2612,0.3491,0.3896,0.0149,0.0097,0.2701,0.0,2.6325,0.3896,33.8411,Night,49.32,0.0957
344-6847,0,93,168.4,114,28.63,276.0,127,23.46,196.2,48,8.83,11.4,3,3.08,0,1,640.6,289,2.2166,0.2629,0.4308,0.3063,0.0178,0.0104,0.2702,0.0,3.1075,0.4308,55.8549,Evening,64.0,0.0999
344-6935,0,79,167.9,114,28.54,243.7,93,20.71,211.9,114,9.54,9.1,2,2.46,17,1,623.5,321,1.9424,0.2693,0.3909,0.3399,0.0146,0.0062,0.2703,0.053,4.0633,0.3909,38.0633,Evening,61.25,0.0982
344-7197,1,108,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,0,4,512.9,284,1.806,0.3006,0.219,0.4804,0.03,0.0141,0.2701,0.0,2.6296,0.4804,68.6043,Night,51.01,0.0995
344-7470,0,92,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,0,1,658.3,328,2.007,0.3226,0.3412,0.3362,0.0137,0.0122,0.27,0.0,3.5652,0.3412,6.3106,Evening,67.59,0.1027
344-8498,0,63,190.0,137,32.3,116.6,76,9.91,141.5,110,6.37,12.2,2,3.29,25,1,448.1,323,1.3873,0.424,0.2602,0.3158,0.0272,0.0062,0.2697,0.0774,5.127,0.424,37.327,Day,51.87,0.1158
344-9302,0,127,261.7,105,32.39,181.8,107,15.45,100.9,131,4.54,3.3,5,0.89,0,0,544.4,343,1.5872,0.4807,0.3339,0.1853,0.0061,0.0146,0.2697,0.0,2.7008,0.4807,80.4005,Day,53.27,0.0979
344-9347,0,73,203.3,45,34.56,141.9,87,12.06,200.7,71,9.03,8.5,6,2.3,0,0,545.9,203,2.6892,0.3724,0.2599,0.3676,0.0156,0.0296,0.2706,0.0,2.7808,0.3724,34.7231,Day,57.95,0.1062
344-9403,0,74,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,547.1,369,1.4827,0.3431,0.2987,0.3583,0.0166,0.0136,0.2703,0.0,4.9865,0.3583,16.9418,Night,57.08,0.1043
344-9620,0,120,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,28,1,693.1,277,2.5022,0.3114,0.4115,0.2772,0.01,0.0108,0.2696,0.1011,2.3083,0.4115,48.3833,Evening,71.43,0.1031
344-9943,0,107,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,22,1,664.2,341,1.9478,0.4232,0.2164,0.3604,0.0169,0.0264,0.2696,0.0645,3.1869,0.4232,70.4464,Day,73.79,0.1111
344-9966,0,109,235.3,113,32.39,218.5,122,18.57,266.0,88,11.97,10.9,5,2.94,0,1,719.8,323,2.2285,0.3269,0.3036,0.3695,0.0151,0.0155,0.2697,0.0,2.9633,0.3695,24.0866,Night,65.87,0.0915
345-1243,0,37,191.1,69,32.49,129.2,113,10.98,207.5,117,9.34,12.9,1,3.48,0,0,527.8,299,1.7652,0.3621,0.2448,0.3931,0.0244,0.0033,0.2698,0.0,8.0811,0.3931,41.2946,Night,56.29,0.1067
345-1419,0,27,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,0,448.6,330,1.3594,0.432,0.265,0.3029,0.0205,0.0091,0.2696,0.0,12.2222,0.432,39.2671,Day,51.66,0.1152
345-1524,1,101,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,0,5,519.9,290,1.7928,0.1725,0.5003,0.3272,0.026,0.0379,0.2704,0.0,2.8713,0.5003,85.2451,Evening,48.66,0.0936
345-1994,0,93,306.2,123,52.05,189.7,83,16.12,240.3,107,10.81,11.7,2,3.16,22,0,736.2,313,2.3521,0.4159,0.2577,0.3264,0.0159,0.0064,0.2701,0.0703,3.3656,0.4159,58.4172,Day,82.14,0.1116
345-1998,0,165,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0.0,0,0.0,0,1,681.1,317,2.1486,0.3566,0.308,0.3353,0.0,0.0,0.0,0.0,1.9212,0.3566,16.5923,Day,69.4,0.1019
345-2108,0,105,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,0,671.6,335,2.0048,0.3669,0.3815,0.2516,0.0057,0.0119,0.2711,0.0,3.1905,0.3815,47.7679,Evening,72.31,0.1077
345-2319,0,146,115.6,77,19.65,213.6,100,18.16,218.4,72,9.83,10.7,6,2.89,0,1,547.6,249,2.1992,0.2111,0.3901,0.3988,0.0195,0.0241,0.2701,0.0,1.7055,0.3988,58.0156,Night,50.53,0.0923
345-2401,0,22,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0,0,656.5,303,2.1667,0.3164,0.3208,0.3628,0.0146,0.0165,0.2698,0.0,13.7727,0.3628,16.8346,Night,66.52,0.1013
345-2448,0,91,134.7,116,22.9,295.3,98,25.1,195.5,121,8.8,6.6,5,1.78,0,2,625.5,335,1.8672,0.2153,0.4721,0.3125,0.0106,0.0149,0.2697,0.0,3.6813,0.4721,81.0854,Evening,58.58,0.0937
345-2476,0,107,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,0,2,467.6,295,1.5851,0.194,0.4438,0.3623,0.012,0.0169,0.2696,0.0,2.757,0.4438,59.5644,Evening,42.19,0.0902
345-2863,0,105,179.4,113,30.5,275.4,100,23.41,246.1,105,11.07,10.0,5,2.7,29,0,700.9,318,2.2041,0.256,0.3929,0.3511,0.0143,0.0157,0.27,0.0912,3.0286,0.3929,49.1992,Evening,67.68,0.0966
345-2931,0,127,221.0,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,0,2,614.8,309,1.9896,0.3595,0.2614,0.3791,0.0111,0.0129,0.2706,0.0,2.4331,0.3791,38.782,Night,63.56,0.1034
345-3451,0,78,75.0,116,12.75,248.7,87,21.14,176.0,83,7.92,9.5,6,2.57,0,3,499.7,286,1.7472,0.1501,0.4977,0.3522,0.019,0.021,0.2705,0.0,3.6667,0.4977,87.2334,Evening,44.38,0.0888
345-3614,1,76,107.3,140,18.24,238.2,133,20.25,271.8,116,12.23,10.0,3,2.7,0,4,617.3,389,1.5869,0.1738,0.3859,0.4403,0.0162,0.0077,0.27,0.0,5.1184,0.4403,86.9138,Night,53.42,0.0865
345-3734,0,96,175.8,96,29.89,206.6,84,17.56,178.0,105,8.01,10.9,2,3.0,26,2,560.4,285,1.9663,0.3137,0.3687,0.3176,0.0195,0.007,0.2752,0.0912,2.9688,0.3687,17.1825,Evening,58.46,0.1043
345-3787,1,100,294.7,90,50.1,294.6,72,25.04,260.1,121,11.7,10.8,3,2.92,0,1,849.4,283,3.0014,0.347,0.3468,0.3062,0.0127,0.0106,0.2704,0.0,2.83,0.347,19.9475,Day,89.76,0.1057
345-3934,0,35,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,0,2,565.8,339,1.669,0.2639,0.4281,0.3081,0.0157,0.0177,0.2697,0.0,9.6857,0.4281,48.0725,Evening,56.21,0.0993
